,nro lista,Partido,votos,votos_totales_circuito,circuito,nombre_archivo,seccional,porcentaje_circuito
14,P191,VECINALISMO INDEPENDIENTE,66,5664,0012,seccional 12,9,0.011652542372881356
15,P200,PARTIDO UNION CIUDADANA,31,5664,0012,seccional 12,9,0.0054731638418079095
16,A300,MST - NUEVA IZQUIERDA,74,5664,0012,seccional 12,9,0.013064971751412429
17,P40,MOVIMIENTO LIBRES DEL SUR,176,5664,0012,seccional 12,9,0.031073446327683617
6,A500,CORDOBA CAMBIA,2317,10465,004B,seccional 4B,11,0.2214046822742475
7,P217,ENCUENTRO VECINAL CÓRDOBA,724,10465,004B,seccional 4B,11,0.06918299092212135
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),17,10465,004B,seccional 4B,11,0.0016244624940277114
9,3,UNIÓN CÍVICA RADICAL,2789,10465,004B,seccional 4B,11,0.2665074056378404
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,495,10465,004B,seccional 4B,11,0.04730052556139513
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,40,10465,004B,seccional 4B,11,0.003822264691829909
12,A601,HACEMOS POR CORDOBA,3234,10465,004B,seccional 4B,9,0.30903010033444817
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,14,10465,004B,seccional 4B,9,0.0013377926421404682
14,P191,VECINALISMO INDEPENDIENTE,132,10465,004B,seccional 4B,9,0.012613473483038701
15,P200,PARTIDO UNION CIUDADANA,100,10465,004B,seccional 4B,9,0.009555661729574774
16,A300,MST - NUEVA IZQUIERDA,185,10465,004B,seccional 4B,9,0.017677974199713332
17,P40,MOVIMIENTO LIBRES DEL SUR,391,10465,004B,seccional 4B,9,0.03736263736263736
6,A500,CORDOBA CAMBIA,1311,7071,012G,seccional 12G,11,0.18540517607127704
7,P217,ENCUENTRO VECINAL CÓRDOBA,420,7071,012G,seccional 12G,11,0.05939753924480271
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),22,7071,012G,seccional 12G,11,0.003111299674727761
9,3,UNIÓN CÍVICA RADICAL,1343,7071,012G,seccional 12G,11,0.18993070287088107
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,205,7071,012G,seccional 12G,11,0.02899165605996323
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,39,7071,012G,seccional 12G,11,0.005515485787017395
12,A601,HACEMOS POR CORDOBA,3189,7071,012G,seccional 12G,9,0.45099703012303777
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,28,7071,012G,seccional 12G,9,0.003959835949653515
14,P191,VECINALISMO INDEPENDIENTE,68,7071,012G,seccional 12G,9,0.009616744449158535
15,P200,PARTIDO UNION CIUDADANA,41,7071,012G,seccional 12G,9,0.005798331211992646
16,A300,MST - NUEVA IZQUIERDA,96,7071,012G,seccional 12G,9,0.013576580398812049
17,P40,MOVIMIENTO LIBRES DEL SUR,291,7071,012G,seccional 12G,9,0.041154009333899025
6,A500,CORDOBA CAMBIA,3277,14292,012B,seccional 12B,11,0.22928911279037223
7,P217,ENCUENTRO VECINAL CÓRDOBA,916,14292,012B,seccional 12B,11,0.0640917996081724
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),32,14292,012B,seccional 12B,11,0.002239014833473272
9,3,UNIÓN CÍVICA RADICAL,3146,14292,012B,seccional 12B,11,0.22012314581584103
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,610,14292,012B,seccional 12B,11,0.04268122026308424
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,44,14292,012B,seccional 12B,11,0.0030786453960257487
12,A601,HACEMOS POR CORDOBA,5110,14292,012B,seccional 12B,9,0.35754268122026306
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,41,14292,012B,seccional 12B,9,0.0028687377553876293
14,P191,VECINALISMO INDEPENDIENTE,163,14292,012B,seccional 12B,9,0.011404981808004477
15,P200,PARTIDO UNION CIUDADANA,119,14292,012B,seccional 12B,9,0.008326336411978729
16,A300,MST - NUEVA IZQUIERDA,237,14292,012B,seccional 12B,9,0.01658270361041142
17,P40,MOVIMIENTO LIBRES DEL SUR,571,14292,012B,seccional 12B,9,0.03995242093478869
6,A500,CORDOBA CAMBIA,3,10,007C,seccional 7C,11,0.3
7,P217,ENCUENTRO VECINAL CÓRDOBA,2,10,007C,seccional 7C,11,0.2
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),0,10,007C,seccional 7C,11,0.0
9,3,UNIÓN CÍVICA RADICAL,1,10,007C,seccional 7C,11,0.1
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,0,10,007C,seccional 7C,11,0.0
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,0,10,007C,seccional 7C,11,0.0
12,A601,HACEMOS POR CORDOBA,4,10,007C,seccional 7C,9,0.4
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,0,10,007C,seccional 7C,9,0.0
14,P191,VECINALISMO INDEPENDIENTE,0,10,007C,seccional 7C,9,0.0
15,P200,PARTIDO UNION CIUDADANA,0,10,007C,seccional 7C,9,0.0
16,A300,MST - NUEVA IZQUIERDA,0,10,007C,seccional 7C,9,0.0
17,P40,MOVIMIENTO LIBRES DEL SUR,0,10,007C,seccional 7C,9,0.0
6,A500,CORDOBA CAMBIA,668,3964,007A,seccional 7A,11,0.16851664984863773
7,P217,ENCUENTRO VECINAL CÓRDOBA,180,3964,007A,seccional 7A,11,0.045408678102926335
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),13,3964,007A,seccional 7A,11,0.003279515640766902
9,3,UNIÓN CÍVICA RADICAL,542,3964,007A,seccional 7A,11,0.1367305751765893
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,87,3964,007A,seccional 7A,11,0.02194752774974773
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,10,3964,007A,seccional 7A,11,0.0025227043390514633
12,A601,HACEMOS POR CORDOBA,2214,3964,007A,seccional 7A,9,0.558526740665994
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,15,3964,007A,seccional 7A,9,0.0037840565085771947
14,P191,VECINALISMO INDEPENDIENTE,22,3964,007A,seccional 7A,9,0.005549949545913219
15,P200,PARTIDO UNION CIUDADANA,16,3964,007A,seccional 7A,9,0.004036326942482341
16,A300,MST - NUEVA IZQUIERDA,52,3964,007A,seccional 7A,9,0.013118062563067608
17,P40,MOVIMIENTO LIBRES DEL SUR,136,3964,007A,seccional 7A,9,0.034308779011099896
6,A500,CORDOBA CAMBIA,272,933,014Q,seccional 14Q,11,0.2915326902465166
7,P217,ENCUENTRO VECINAL CÓRDOBA,66,933,014Q,seccional 14Q,11,0.0707395498392283
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),1,933,014Q,seccional 14Q,11,0.0010718113612004287
9,3,UNIÓN CÍVICA RADICAL,203,933,014Q,seccional 14Q,11,0.21757770632368703
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,42,933,014Q,seccional 14Q,11,0.04501607717041801
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,1,933,014Q,seccional 14Q,11,0.0010718113612004287
12,A601,HACEMOS POR CORDOBA,285,933,014Q,seccional 14Q,9,0.3054662379421222
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,2,933,014Q,seccional 14Q,9,0.0021436227224008574
14,P191,VECINALISMO INDEPENDIENTE,20,933,014Q,seccional 14Q,9,0.021436227224008574
15,P200,PARTIDO UNION CIUDADANA,4,933,014Q,seccional 14Q,9,0.004287245444801715
16,A300,MST - NUEVA IZQUIERDA,12,933,014Q,seccional 14Q,9,0.012861736334405145
17,P40,MOVIMIENTO LIBRES DEL SUR,23,933,014Q,seccional 14Q,9,0.02465166130760986
6,A500,CORDOBA CAMBIA,2865,13407,012F,seccional 12F,11,0.21369433877825017
7,P217,ENCUENTRO VECINAL CÓRDOBA,797,13407,012F,seccional 12F,11,0.05944655776832998
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),20,13407,012F,seccional 12F,11,0.0014917580368464234
9,3,UNIÓN CÍVICA RADICAL,2957,13407,012F,seccional 12F,11,0.22055642574774373
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,632,13407,012F,seccional 12F,11,0.047139553964346985
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,43,13407,012F,seccional 12F,11,0.0032072797792198106
12,A601,HACEMOS POR CORDOBA,4902,13407,012F,seccional 12F,9,0.3656298948310584
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,39,13407,012F,seccional 12F,9,0.002908928171850526
14,P191,VECINALISMO INDEPENDIENTE,179,13407,012F,seccional 12F,9,0.013351234429775491
15,P200,PARTIDO UNION CIUDADANA,97,13407,012F,seccional 12F,9,0.007235026478705154
16,A300,MST - NUEVA IZQUIERDA,223,13407,012F,seccional 12F,9,0.01663310211083762
17,P40,MOVIMIENTO LIBRES DEL SUR,614,13407,012F,seccional 12F,9,0.0457969717311852
6,A500,CORDOBA CAMBIA,1042,3994,014I,seccional 14I,11,0.26089133700550826
7,P217,ENCUENTRO VECINAL CÓRDOBA,201,3994,014I,seccional 14I,11,0.050325488232348524
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),5,3994,014I,seccional 14I,11,0.0012518778167250877
9,3,UNIÓN CÍVICA RADICAL,859,3994,014I,seccional 14I,11,0.21507260891337004
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,221,3994,014I,seccional 14I,11,0.05533299949924887
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,8,3994,014I,seccional 14I,11,0.00200300450676014
12,A601,HACEMOS POR CORDOBA,1299,3994,014I,seccional 14I,9,0.32523785678517775
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,6,3994,014I,seccional 14I,9,0.0015022533800701052
14,P191,VECINALISMO INDEPENDIENTE,60,3994,014I,seccional 14I,9,0.015022533800701052
15,P200,PARTIDO UNION CIUDADANA,27,3994,014I,seccional 14I,9,0.006760140210315473
16,A300,MST - NUEVA IZQUIERDA,70,3994,014I,seccional 14I,9,0.017526289434151226
17,P40,MOVIMIENTO LIBRES DEL SUR,189,3994,014I,seccional 14I,9,0.04732098147220831
6,A500,CORDOBA CAMBIA,3047,12923,0003,seccional 3,11,0.23578116536407956
7,P217,ENCUENTRO VECINAL CÓRDOBA,814,12923,0003,seccional 3,11,0.0629884701694653
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),79,12923,0003,seccional 3,11,0.006113131625783487
9,3,UNIÓN CÍVICA RADICAL,2781,12923,0003,seccional 3,11,0.21519770951017567
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,916,12923,0003,seccional 3,11,0.0708813742938946
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,106,12923,0003,seccional 3,11,0.008202429776367717
12,A601,HACEMOS POR CORDOBA,3795,12923,0003,seccional 3,9,0.2936624622765612
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,35,12923,0003,seccional 3,9,0.0027083494544610383
14,P191,VECINALISMO INDEPENDIENTE,143,12923,0003,seccional 3,9,0.011065542056797956
15,P200,PARTIDO UNION CIUDADANA,144,12923,0003,seccional 3,9,0.011142923469782557
16,A300,MST - NUEVA IZQUIERDA,343,12923,0003,seccional 3,9,0.026541824653718175
17,P40,MOVIMIENTO LIBRES DEL SUR,703,12923,0003,seccional 3,9,0.05439913332817457
6,A500,CORDOBA CAMBIA,650,3335,004C,seccional 4C,11,0.19490254872563717
7,P217,ENCUENTRO VECINAL CÓRDOBA,284,3335,004C,seccional 4C,11,0.08515742128935533
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),7,3335,004C,seccional 4C,11,0.002098950524737631
9,3,UNIÓN CÍVICA RADICAL,711,3335,004C,seccional 4C,11,0.21319340329835082
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,126,3335,004C,seccional 4C,11,0.037781109445277364
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,13,3335,004C,seccional 4C,11,0.0038980509745127436
12,A601,HACEMOS POR CORDOBA,1295,3335,004C,seccional 4C,9,0.38830584707646176
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,6,3335,004C,seccional 4C,9,0.0017991004497751124
14,P191,VECINALISMO INDEPENDIENTE,50,3335,004C,seccional 4C,9,0.014992503748125937
15,P200,PARTIDO UNION CIUDADANA,19,3335,004C,seccional 4C,9,0.005697151424287856
16,A300,MST - NUEVA IZQUIERDA,50,3335,004C,seccional 4C,9,0.014992503748125937
17,P40,MOVIMIENTO LIBRES DEL SUR,113,3335,004C,seccional 4C,9,0.033883058470764615
6,A500,CORDOBA CAMBIA,1073,5293,013F,seccional 13F,11,0.20272057434347251
7,P217,ENCUENTRO VECINAL CÓRDOBA,310,5293,013F,seccional 13F,11,0.058567919894199884
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),9,5293,013F,seccional 13F,11,0.0017003589646703192
9,3,UNIÓN CÍVICA RADICAL,1209,5293,013F,seccional 13F,11,0.22841488758737954
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,152,5293,013F,seccional 13F,11,0.02871717362554317
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,11,5293,013F,seccional 13F,11,0.0020782165123748348
12,A601,HACEMOS POR CORDOBA,2099,5293,013F,seccional 13F,9,0.3965614963158889
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,27,5293,013F,seccional 13F,9,0.005101076894010958
14,P191,VECINALISMO INDEPENDIENTE,62,5293,013F,seccional 13F,9,0.011713583978839977
15,P200,PARTIDO UNION CIUDADANA,35,5293,013F,seccional 13F,9,0.00661250708482902
16,A300,MST - NUEVA IZQUIERDA,65,5293,013F,seccional 13F,9,0.01228037030039675
17,P40,MOVIMIENTO LIBRES DEL SUR,235,5293,013F,seccional 13F,9,0.044398261855280556
6,A500,CORDOBA CAMBIA,213,1494,004E,seccional 4E,11,0.142570281124498
7,P217,ENCUENTRO VECINAL CÓRDOBA,67,1494,004E,seccional 4E,11,0.04484605087014726
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),12,1494,004E,seccional 4E,11,0.008032128514056224
9,3,UNIÓN CÍVICA RADICAL,211,1494,004E,seccional 4E,11,0.14123159303882196
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,40,1494,004E,seccional 4E,11,0.02677376171352075
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,0,1494,004E,seccional 4E,11,0.0
12,A601,HACEMOS POR CORDOBA,847,1494,004E,seccional 4E,9,0.5669344042838019
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,7,1494,004E,seccional 4E,9,0.004685408299866131
14,P191,VECINALISMO INDEPENDIENTE,18,1494,004E,seccional 4E,9,0.012048192771084338
15,P200,PARTIDO UNION CIUDADANA,4,1494,004E,seccional 4E,9,0.002677376171352075
16,A300,MST - NUEVA IZQUIERDA,25,1494,004E,seccional 4E,9,0.01673360107095047
17,P40,MOVIMIENTO LIBRES DEL SUR,43,1494,004E,seccional 4E,9,0.028781793842034806
6,A500,CORDOBA CAMBIA,1401,5626,011F,seccional 11F,11,0.2490223960184856
7,P217,ENCUENTRO VECINAL CÓRDOBA,335,5626,011F,seccional 11F,11,0.05954496978314966
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),55,5626,011F,seccional 11F,11,0.009776039815143975
9,3,UNIÓN CÍVICA RADICAL,1056,5626,011F,seccional 11F,11,0.1876999644507643
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,205,5626,011F,seccional 11F,11,0.03643796658371845
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,114,5626,011F,seccional 11F,11,0.0202630643441166
12,A601,HACEMOS POR CORDOBA,1993,5626,011F,seccional 11F,9,0.3542481336651262
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,12,5626,011F,seccional 11F,9,0.002132954141485958
14,P191,VECINALISMO INDEPENDIENTE,60,5626,011F,seccional 11F,9,0.01066477070742979
15,P200,PARTIDO UNION CIUDADANA,47,5626,011F,seccional 11F,9,0.00835407038748667
16,A300,MST - NUEVA IZQUIERDA,81,5626,011F,seccional 11F,9,0.014397440455030218
17,P40,MOVIMIENTO LIBRES DEL SUR,251,5626,011F,seccional 11F,9,0.04461429079274796
6,A500,CORDOBA CAMBIA,1661,8049,010J,seccional 10J,11,0.20636103863834016
7,P217,ENCUENTRO VECINAL CÓRDOBA,425,8049,010J,seccional 10J,11,0.05280159025965959
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),25,8049,010J,seccional 10J,11,0.0031059758976270343
9,3,UNIÓN CÍVICA RADICAL,1482,8049,010J,seccional 10J,11,0.1841222512113306
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,287,8049,010J,seccional 10J,11,0.03565660330475835
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,22,8049,010J,seccional 10J,11,0.00273325878991179
12,A601,HACEMOS POR CORDOBA,3498,8049,010J,seccional 10J,9,0.43458814759597464
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,23,8049,010J,seccional 10J,9,0.0028574978258168716
14,P191,VECINALISMO INDEPENDIENTE,73,8049,010J,seccional 10J,9,0.00906944962107094
15,P200,PARTIDO UNION CIUDADANA,56,8049,010J,seccional 10J,9,0.006957386010684557
16,A300,MST - NUEVA IZQUIERDA,123,8049,010J,seccional 10J,9,0.01528140141632501
17,P40,MOVIMIENTO LIBRES DEL SUR,359,8049,010J,seccional 10J,9,0.044601813889924215
6,A500,CORDOBA CAMBIA,2110,8626,011D,seccional 11D,11,0.24460932065847438
7,P217,ENCUENTRO VECINAL CÓRDOBA,535,8626,011D,seccional 11D,11,0.06202179457454208
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),19,8626,011D,seccional 11D,11,0.0022026431718061676
9,3,UNIÓN CÍVICA RADICAL,1812,8626,011D,seccional 11D,11,0.21006260143751448
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,457,8626,011D,seccional 11D,11,0.052979364711337816
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,37,8626,011D,seccional 11D,11,0.0042893577556225365
12,A601,HACEMOS POR CORDOBA,2831,8626,011D,seccional 11D,9,0.32819383259911894
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,16,8626,011D,seccional 11D,9,0.0018548574078367725
14,P191,VECINALISMO INDEPENDIENTE,118,8626,011D,seccional 11D,9,0.013679573382796198
15,P200,PARTIDO UNION CIUDADANA,96,8626,011D,seccional 11D,9,0.011129144447020635
16,A300,MST - NUEVA IZQUIERDA,184,8626,011D,seccional 11D,9,0.021330860190122883
17,P40,MOVIMIENTO LIBRES DEL SUR,396,8626,011D,seccional 11D,9,0.04590772084396012
6,A500,CORDOBA CAMBIA,3785,18961,013J,seccional 13J,11,0.19962027319234218
7,P217,ENCUENTRO VECINAL CÓRDOBA,1126,18961,013J,seccional 13J,11,0.05938505353093191
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),51,18961,013J,seccional 13J,11,0.0026897315542429197
9,3,UNIÓN CÍVICA RADICAL,3194,18961,013J,seccional 13J,11,0.16845103106376247
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,560,18961,013J,seccional 13J,11,0.029534307262275197
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,62,18961,013J,seccional 13J,11,0.0032698697326090397
12,A601,HACEMOS POR CORDOBA,8733,18961,013J,seccional 13J,9,0.4605769737883023
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,47,18961,013J,seccional 13J,9,0.0024787722166552395
14,P191,VECINALISMO INDEPENDIENTE,162,18961,013J,seccional 13J,9,0.008543853172301039
15,P200,PARTIDO UNION CIUDADANA,79,18961,013J,seccional 13J,9,0.004166446917356679
16,A300,MST - NUEVA IZQUIERDA,276,18961,013J,seccional 13J,9,0.014556194293549918
17,P40,MOVIMIENTO LIBRES DEL SUR,839,18961,013J,seccional 13J,9,0.04424872105901587
6,A500,CORDOBA CAMBIA,1859,9046,011I,seccional 11I,11,0.20550519566659298
7,P217,ENCUENTRO VECINAL CÓRDOBA,356,9046,011I,seccional 11I,11,0.03935441078929914
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),25,9046,011I,seccional 11I,11,0.0027636524430687598
9,3,UNIÓN CÍVICA RADICAL,1089,9046,011I,seccional 11I,11,0.12038470042007517
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,173,9046,011I,seccional 11I,11,0.019124474906035818
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,25,9046,011I,seccional 11I,11,0.0027636524430687598
12,A601,HACEMOS POR CORDOBA,4979,9046,011I,seccional 11I,9,0.5504090205615741
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,22,9046,011I,seccional 11I,9,0.0024320141499005084
14,P191,VECINALISMO INDEPENDIENTE,64,9046,011I,seccional 11I,9,0.007074950254256025
15,P200,PARTIDO UNION CIUDADANA,46,9046,011I,seccional 11I,9,0.005085120495246518
16,A300,MST - NUEVA IZQUIERDA,90,9046,011I,seccional 11I,9,0.009949148795047534
